Model,Class,Accuracy
BananaLeafCNN,banana_healthy_leaf,1.0
BananaLeafCNN,black_sigatoka,0.45454545454545453
BananaLeafCNN,yellow_sigatoka,1.0
BananaLeafCNN,panama_disease,0.0
BananaLeafCNN,moko_disease,0.8181818181818182
BananaLeafCNN,insect_pest,1.0
BananaLeafCNN,bract_mosaic_virus,0.9090909090909091
resnet50,banana_healthy_leaf,1.0
resnet50,black_sigatoka,1.0
resnet50,yellow_sigatoka,0.8181818181818182
resnet50,panama_disease,0.45454545454545453
resnet50,moko_disease,1.0
resnet50,insect_pest,1.0
resnet50,bract_mosaic_virus,1.0
mobilenet_v3_large,banana_healthy_leaf,1.0
mobilenet_v3_large,black_sigatoka,0.7272727272727273
mobilenet_v3_large,yellow_sigatoka,1.0
mobilenet_v3_large,panama_disease,0.5454545454545454
mobilenet_v3_large,moko_disease,0.6363636363636364
mobilenet_v3_large,insect_pest,1.0
mobilenet_v3_large,bract_mosaic_virus,1.0
efficientnet_b3,banana_healthy_leaf,1.0
efficientnet_b3,black_sigatoka,1.0
efficientnet_b3,yellow_sigatoka,1.0
efficientnet_b3,panama_disease,0.45454545454545453
efficientnet_b3,moko_disease,1.0
efficientnet_b3,insect_pest,0.8181818181818182
efficientnet_b3,bract_mosaic_virus,1.0
densenet121,banana_healthy_leaf,1.0
densenet121,black_sigatoka,1.0
densenet121,yellow_sigatoka,1.0
densenet121,panama_disease,1.0
densenet121,moko_disease,0.9090909090909091
densenet121,insect_pest,1.0
densenet121,bract_mosaic_virus,1.0
vgg16,banana_healthy_leaf,1.0
vgg16,black_sigatoka,0.5454545454545454
vgg16,yellow_sigatoka,1.0
vgg16,panama_disease,0.6363636363636364
vgg16,moko_disease,0.5454545454545454
vgg16,insect_pest,0.5454545454545454
vgg16,bract_mosaic_virus,0.36363636363636365
