Model,Class,Precision,Recall,F1 Score,Support
banana_leaf_cnn,banana_healthy_leaf,0.9166666666666666,1.0,0.9565217391304348,11
banana_leaf_cnn,black_sigatoka,0.625,0.45454545454545453,0.5263157894736842,11
banana_leaf_cnn,yellow_sigatoka,0.5,1.0,0.6666666666666666,11
banana_leaf_cnn,panama_disease,0.0,0.0,0.0,11
banana_leaf_cnn,moko_disease,1.0,0.8181818181818182,0.9,11
banana_leaf_cnn,insect_pest,0.7857142857142857,1.0,0.88,11
banana_leaf_cnn,bract_mosaic_virus,0.9090909090909091,0.9090909090909091,0.9090909090909091,11
resnet50,banana_healthy_leaf,1.0,1.0,1.0,11
resnet50,black_sigatoka,0.8461538461538461,1.0,0.9166666666666666,11
resnet50,yellow_sigatoka,1.0,0.8181818181818182,0.9,11
resnet50,panama_disease,1.0,0.45454545454545453,0.625,11
resnet50,moko_disease,0.9166666666666666,1.0,0.9565217391304348,11
resnet50,insect_pest,1.0,1.0,1.0,11
resnet50,bract_mosaic_virus,0.6875,1.0,0.8148148148148148,11
mobilenet_v3_large,banana_healthy_leaf,0.8461538461538461,1.0,0.9166666666666666,11
mobilenet_v3_large,black_sigatoka,1.0,0.7272727272727273,0.8421052631578948,11
mobilenet_v3_large,yellow_sigatoka,1.0,1.0,1.0,11
mobilenet_v3_large,panama_disease,0.6,0.5454545454545454,0.5714285714285713,11
mobilenet_v3_large,moko_disease,1.0,0.6363636363636364,0.7777777777777778,11
mobilenet_v3_large,insect_pest,0.9166666666666666,1.0,0.9565217391304348,11
mobilenet_v3_large,bract_mosaic_virus,0.6875,1.0,0.8148148148148148,11
efficientnet_b3,banana_healthy_leaf,1.0,1.0,1.0,11
efficientnet_b3,black_sigatoka,0.8461538461538461,1.0,0.9166666666666666,11
efficientnet_b3,yellow_sigatoka,1.0,1.0,1.0,11
efficientnet_b3,panama_disease,1.0,0.45454545454545453,0.625,11
efficientnet_b3,moko_disease,0.9166666666666666,1.0,0.9565217391304348,11
efficientnet_b3,insect_pest,1.0,0.8181818181818182,0.9,11
efficientnet_b3,bract_mosaic_virus,0.6875,1.0,0.8148148148148148,11
densenet121,banana_healthy_leaf,1.0,1.0,1.0,11
densenet121,black_sigatoka,1.0,1.0,1.0,11
densenet121,yellow_sigatoka,1.0,1.0,1.0,11
densenet121,panama_disease,1.0,1.0,1.0,11
densenet121,moko_disease,1.0,0.9090909090909091,0.9523809523809523,11
densenet121,insect_pest,1.0,1.0,1.0,11
densenet121,bract_mosaic_virus,0.9166666666666666,1.0,0.9565217391304348,11
vgg16,banana_healthy_leaf,0.7857142857142857,1.0,0.88,11
vgg16,black_sigatoka,0.5454545454545454,0.5454545454545454,0.5454545454545454,11
vgg16,yellow_sigatoka,0.6875,1.0,0.8148148148148148,11
vgg16,panama_disease,0.7,0.6363636363636364,0.6666666666666666,11
vgg16,moko_disease,0.5454545454545454,0.5454545454545454,0.5454545454545454,11
vgg16,insect_pest,1.0,0.5454545454545454,0.7058823529411764,11
vgg16,bract_mosaic_virus,0.4444444444444444,0.36363636363636365,0.39999999999999997,11
