perturbation,accuracy,precision,recall,f1
No Perturbation,0.922077922077922,0.9293206793206793,0.922077922077922,0.9185174728652988
JPEG Compression (quality=90),0.18181818181818182,0.19453781512605042,0.18181818181818182,0.10159618862150509
JPEG Compression (quality=80),0.15584415584415584,0.1909090909090909,0.15584415584415584,0.09520836306550592
JPEG Compression (quality=70),0.16883116883116883,0.19275053304904052,0.16883116883116883,0.09844322344322344
JPEG Compression (quality=60),0.18181818181818182,0.19453781512605042,0.18181818181818182,0.10159618862150509
JPEG Compression (quality=50),0.18181818181818182,0.19453781512605042,0.18181818181818182,0.10159618862150509
JPEG Compression (quality=40),0.16883116883116883,0.19275053304904052,0.16883116883116883,0.09844322344322344
JPEG Compression (quality=30),0.16883116883116883,0.18898809523809523,0.16883116883116883,0.09885800474035768
JPEG Compression (quality=20),0.16883116883116883,0.19397363465160075,0.16883116883116883,0.12244897959183673
JPEG Compression (quality=10),0.2077922077922078,0.20539682539682538,0.2077922077922078,0.14795629953507689
