perturbation,accuracy,precision,recall,f1
No Perturbation,0.974025974025974,0.978021978021978,0.974025974025974,0.9738095238095238
JPEG Compression (quality=90),0.2727272727272727,0.237012987012987,0.2727272727272727,0.22563681932102983
JPEG Compression (quality=80),0.24675324675324675,0.2724089635854342,0.24675324675324675,0.20663861617578305
JPEG Compression (quality=70),0.23376623376623376,0.2636268343815513,0.23376623376623376,0.20119047619047617
JPEG Compression (quality=60),0.23376623376623376,0.25687830687830693,0.23376623376623376,0.19791993720565149
JPEG Compression (quality=50),0.19480519480519481,0.2343358395989975,0.19480519480519481,0.15892672858617132
JPEG Compression (quality=40),0.2077922077922078,0.2819548872180451,0.2077922077922078,0.18151260504201677
JPEG Compression (quality=30),0.23376623376623376,0.32925170068027215,0.23376623376623376,0.2140471113818662
JPEG Compression (quality=20),0.19480519480519481,0.22005012531328322,0.19480519480519481,0.15861344537815128
JPEG Compression (quality=10),0.2597402597402597,0.2827878321139776,0.2597402597402597,0.22704081632653061
