Model,Perturbation,Baseline Accuracy,Perturbed Accuracy,Accuracy Drop,Relative Drop (%)
banana_leaf_cnn,Gaussian Noise,0.7792207792207793,0.24675324675324675,0.5324675324675325,68.33333333333333
resnet50,Gaussian Noise,0.8571428571428571,0.22077922077922077,0.6363636363636364,74.24242424242425
mobilenet_v3_large,Gaussian Noise,0.8441558441558441,0.45454545454545453,0.3896103896103896,46.15384615384615
efficientnet_b3,Gaussian Noise,0.974025974025974,0.4025974025974026,0.5714285714285714,58.666666666666664
densenet121,Gaussian Noise,0.922077922077922,0.5974025974025974,0.3246753246753247,35.21126760563381
vgg16,Gaussian Noise,0.7662337662337663,0.18181818181818182,0.5844155844155845,76.27118644067798
banana_leaf_cnn,Blur,0.7792207792207793,0.14285714285714285,0.6363636363636365,81.66666666666667
resnet50,Blur,0.8571428571428571,0.14285714285714285,0.7142857142857142,83.33333333333333
mobilenet_v3_large,Blur,0.8441558441558441,0.12987012987012986,0.7142857142857142,84.61538461538461
efficientnet_b3,Blur,0.974025974025974,0.12987012987012986,0.8441558441558441,86.66666666666666
densenet121,Blur,0.922077922077922,0.09090909090909091,0.8311688311688311,90.14084507042253
vgg16,Blur,0.7662337662337663,0.09090909090909091,0.6753246753246753,88.13559322033898
banana_leaf_cnn,Brightness,0.7792207792207793,0.14285714285714285,0.6363636363636365,81.66666666666667
resnet50,Brightness,0.8571428571428571,0.14285714285714285,0.7142857142857142,83.33333333333333
mobilenet_v3_large,Brightness,0.8441558441558441,0.1038961038961039,0.7402597402597402,87.6923076923077
efficientnet_b3,Brightness,0.974025974025974,0.35064935064935066,0.6233766233766234,64.0
densenet121,Brightness,0.922077922077922,0.07792207792207792,0.8441558441558441,91.54929577464789
vgg16,Brightness,0.7662337662337663,0.15584415584415584,0.6103896103896105,79.66101694915255
banana_leaf_cnn,Contrast,0.7792207792207793,0.14285714285714285,0.6363636363636365,81.66666666666667
resnet50,Contrast,0.8571428571428571,0.14285714285714285,0.7142857142857142,83.33333333333333
mobilenet_v3_large,Contrast,0.8441558441558441,0.09090909090909091,0.7532467532467532,89.23076923076923
efficientnet_b3,Contrast,0.974025974025974,0.44155844155844154,0.5324675324675325,54.66666666666667
densenet121,Contrast,0.922077922077922,0.09090909090909091,0.8311688311688311,90.14084507042253
vgg16,Contrast,0.7662337662337663,0.14285714285714285,0.6233766233766234,81.35593220338983
banana_leaf_cnn,Rotation,0.7792207792207793,0.18181818181818182,0.5974025974025974,76.66666666666666
resnet50,Rotation,0.8571428571428571,0.15584415584415584,0.7012987012987013,81.81818181818183
mobilenet_v3_large,Rotation,0.8441558441558441,0.16883116883116883,0.6753246753246753,80.0
efficientnet_b3,Rotation,0.974025974025974,0.33766233766233766,0.6363636363636364,65.33333333333333
densenet121,Rotation,0.922077922077922,0.09090909090909091,0.8311688311688311,90.14084507042253
vgg16,Rotation,0.7662337662337663,0.12987012987012986,0.6363636363636365,83.05084745762713
banana_leaf_cnn,Occlusion,0.7792207792207793,0.7272727272727273,0.051948051948051965,6.666666666666668
resnet50,Occlusion,0.8571428571428571,0.8571428571428571,0.0,0.0
mobilenet_v3_large,Occlusion,0.8441558441558441,0.8441558441558441,0.0,0.0
efficientnet_b3,Occlusion,0.974025974025974,0.974025974025974,0.0,0.0
densenet121,Occlusion,0.922077922077922,0.922077922077922,0.0,0.0
vgg16,Occlusion,0.7662337662337663,0.5714285714285714,0.19480519480519487,25.423728813559332
banana_leaf_cnn,Jpeg Compression,0.7792207792207793,0.15584415584415584,0.6233766233766234,80.0
resnet50,Jpeg Compression,0.8571428571428571,0.15584415584415584,0.7012987012987013,81.81818181818183
mobilenet_v3_large,Jpeg Compression,0.8441558441558441,0.23376623376623376,0.6103896103896104,72.3076923076923
efficientnet_b3,Jpeg Compression,0.974025974025974,0.19480519480519481,0.7792207792207793,80.0
densenet121,Jpeg Compression,0.922077922077922,0.15584415584415584,0.7662337662337662,83.09859154929576
vgg16,Jpeg Compression,0.7662337662337663,0.11688311688311688,0.6493506493506493,84.7457627118644
