perturbation,accuracy,precision,recall,f1
No Perturbation,0.8441558441558441,0.8998015873015874,0.8441558441558441,0.8176047250457414
JPEG Compression (quality=90),0.2987012987012987,0.19985994397759105,0.2987012987012987,0.19924098671726753
JPEG Compression (quality=80),0.2597402597402597,0.18101343101343104,0.2597402597402597,0.17332910175564478
JPEG Compression (quality=70),0.23376623376623376,0.17173023055375997,0.23376623376623376,0.15999733226623983
JPEG Compression (quality=60),0.24675324675324675,0.15018626498218338,0.24675324675324675,0.16221588453893354
JPEG Compression (quality=50),0.24675324675324675,0.14779806659505906,0.24675324675324675,0.15794951860525627
JPEG Compression (quality=40),0.24675324675324675,0.14480077745383868,0.24675324675324675,0.15575396825396826
JPEG Compression (quality=30),0.24675324675324675,0.13365800865800867,0.24675324675324675,0.15291475441851382
JPEG Compression (quality=20),0.3246753246753247,0.3127984256033037,0.3246753246753247,0.2195874301137459
JPEG Compression (quality=10),0.2857142857142857,0.16303696303696302,0.2857142857142857,0.18897740914547634
