perturbation,accuracy,precision,recall,f1
No Perturbation,0.7662337662337663,0.7547746371275783,0.7662337662337663,0.7443548170256244
JPEG Compression (quality=90),0.15584415584415584,0.060064935064935064,0.15584415584415584,0.07910685805422649
JPEG Compression (quality=80),0.14285714285714285,0.056857576195291054,0.14285714285714285,0.07417235900208036
JPEG Compression (quality=70),0.14285714285714285,0.05124716553287982,0.14285714285714285,0.0691326530612245
JPEG Compression (quality=60),0.12987012987012986,0.045212765957446804,0.12987012987012986,0.05937256935442052
JPEG Compression (quality=50),0.12987012987012986,0.02915451895043732,0.12987012987012986,0.04761904761904762
JPEG Compression (quality=40),0.12987012987012986,0.025974025974025976,0.12987012987012986,0.043290043290043295
JPEG Compression (quality=30),0.14285714285714285,0.02576112412177986,0.14285714285714285,0.043650793650793655
JPEG Compression (quality=20),0.12987012987012986,0.024630541871921183,0.12987012987012986,0.041407867494824016
JPEG Compression (quality=10),0.11688311688311688,0.02295918367346939,0.11688311688311688,0.03837953091684436
